Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Air India,3/06/2019,Delhi,Cochin,DEL → LKO → BOM → COK,18:30,19:15 04 Jun,24h 45m,2 stops,No info,12488
Air Asia,9/06/2019,Kolkata,Banglore,CCU → DEL → BLR,07:35,23:30,15h 55m,1 stop,No info,7870
Air India,12/05/2019,Delhi,Cochin,DEL → COK,05:10,08:00,2h 50m,non-stop,No info,6094
Jet Airways,12/06/2019,Kolkata,Banglore,CCU → GAU → BLR,10:20,17:35,7h 15m,1 stop,In-flight meal not included,5608
GoAir,3/03/2019,Delhi,Cochin,DEL → HYD → COK,07:30,13:20,5h 50m,1 stop,No info,6112
Jet Airways,06/03/2019,Banglore,New Delhi,BLR → BOM → DEL,16:55,08:15 07 Mar,15h 20m,1 stop,No info,16736
Vistara,12/06/2019,Kolkata,Banglore,CCU → DEL → BLR,20:20,10:45 13 Jun,14h 25m,1 stop,No info,8452
Jet Airways,9/05/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,14:25 10 May,21h 25m,1 stop,In-flight meal not included,9314
IndiGo,21/05/2019,Chennai,Kolkata,MAA → CCU,07:55,10:15,2h 20m,non-stop,No info,3850
Jet Airways,21/03/2019,Delhi,Cochin,DEL → BOM → COK,19:45,04:25 22 Mar,8h 40m,1 stop,In-flight meal not included,5963
