Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Jet Airways,06/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:55,09:00 07 Mar,24h 5m,1 stop,In-flight meal not included,13712
Air India,9/03/2019,Delhi,Cochin,DEL → MAA → COK,17:20,09:25 10 Mar,16h 5m,1 stop,No info,12415
Air Asia,15/05/2019,Kolkata,Banglore,CCU → IXR → DEL → BLR,15:10,23:30,8h 20m,2 stops,No info,5192
Air Asia,15/05/2019,Kolkata,Banglore,CCU → BBI → BLR,06:50,10:30,3h 40m,1 stop,No info,5162
IndiGo,3/03/2019,Delhi,Cochin,DEL → HYD → COK,06:40,16:10,9h 30m,1 stop,No info,9027
Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,13:55,18:10 25 Mar,28h 15m,1 stop,In-flight meal not included,11134
Jet Airways,24/05/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,09:20 25 May,13h 20m,1 stop,In-flight meal not included,10844
Vistara,24/03/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,10:50 25 Mar,17h 50m,1 stop,No info,12890
Jet Airways,9/06/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,16:20 10 Jun,20h 20m,1 stop,No info,14571
Jet Airways,12/05/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,21:05 13 May,28h 5m,1 stop,No info,12121
Jet Airways,9/05/2019,Delhi,Cochin,DEL → BOM → COK,13:00,04:25 10 May,15h 25m,1 stop,In-flight meal not included,12373
