Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Vistara,24/05/2019,Banglore,Delhi,BLR → DEL,07:00,09:40,2h 40m,non-stop,No info,4668
IndiGo,1/04/2019,Kolkata,Banglore,CCU → BLR,17:15,19:50,2h 35m,non-stop,No info,4174
IndiGo,15/05/2019,Mumbai,Hyderabad,BOM → HYD,12:00,13:30,1h 30m,non-stop,No info,2754
IndiGo,21/05/2019,Mumbai,Hyderabad,BOM → HYD,12:00,13:30,1h 30m,non-stop,No info,2754
Vistara,12/05/2019,Banglore,Delhi,BLR → DEL,09:45,12:35,2h 50m,non-stop,No info,4668
IndiGo,12/06/2019,Kolkata,Banglore,CCU → BLR,15:30,18:05,2h 35m,non-stop,No info,4804
Air India,9/06/2019,Delhi,Cochin,DEL → AMD → BOM → COK,05:00,07:40 10 Jun,26h 40m,2 stops,No info,10756
Multiple carriers,1/06/2019,Delhi,Cochin,DEL → BOM → COK,18:00,01:30 02 Jun,7h 30m,1 stop,No info,7933
SpiceJet,9/05/2019,Chennai,Kolkata,MAA → CCU,09:45,12:00,2h 15m,non-stop,No check-in baggage included,3543
Jet Airways,21/05/2019,Delhi,Cochin,DEL → JAI → BOM → COK,09:40,04:25 22 May,18h 45m,2 stops,In-flight meal not included,13029
Jet Airways,9/06/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,04:40 10 Jun,20h 15m,1 stop,No info,13731
