Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Jet Airways,6/05/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,15:05 07 May,22h 5m,1 stop,No info,13067
IndiGo,1/03/2019,Kolkata,Banglore,CCU → BLR,15:10,17:45,2h 35m,non-stop,No info,6565
SpiceJet,24/05/2019,Mumbai,Hyderabad,BOM → HYD,05:45,07:15,1h 30m,non-stop,No check-in baggage included,1965
SpiceJet,27/03/2019,Chennai,Kolkata,MAA → CCU,09:30,12:05,2h 35m,non-stop,No check-in baggage included,3332
IndiGo,21/03/2019,Banglore,New Delhi,BLR → LKO → DEL,05:25,10:10,4h 45m,1 stop,No info,6208
Air India,18/03/2019,Banglore,New Delhi,BLR → GAU → DEL,13:50,18:40 16 Mar,28h 50m,1 stop,No info,11161
Air India,12/06/2019,Kolkata,Banglore,CCU → DEL → COK → BLR,10:00,13:45 13 Jun,27h 45m,2 stops,No info,12224
Jet Airways,1/05/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,12:00 02 May,17h 5m,1 stop,In-flight meal not included,9663
Jet Airways,18/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:55,15:15,6h 20m,1 stop,No info,12284
Air India,27/05/2019,Delhi,Cochin,DEL → MAA → COK,17:20,09:25 28 May,16h 5m,1 stop,No info,7480
Jet Airways,6/03/2019,Delhi,Cochin,DEL → BOM → COK,19:15,04:25 07 Mar,9h 10m,1 stop,No info,17024
