Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Jet Airways,6/03/2019,Delhi,Cochin,DEL → BHO → BOM → COK,05:40,04:25 07 Mar,22h 45m,2 stops,In-flight meal not included,17271
Jet Airways,21/05/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,14:25 22 May,21h 25m,1 stop,In-flight meal not included,9314
SpiceJet,27/03/2019,Kolkata,Banglore,CCU → BLR,22:20,00:40 28 Mar,2h 20m,non-stop,No info,3847
Air India,15/05/2019,Delhi,Cochin,DEL → BOM → COK,09:00,19:15,10h 15m,1 stop,No info,8372
Multiple carriers,15/06/2019,Delhi,Cochin,DEL → BOM → COK,10:35,19:00,8h 25m,1 stop,No info,10877
SpiceJet,12/05/2019,Banglore,Delhi,BLR → DEL,09:30,12:20,2h 50m,non-stop,No info,4423
IndiGo,15/03/2019,Chennai,Kolkata,MAA → CCU,22:05,00:30 13 Mar,2h 25m,non-stop,No info,6297
Vistara,27/06/2019,Delhi,Cochin,DEL → COK,14:40,17:50,3h 10m,non-stop,No info,6216
Multiple carriers,6/06/2019,Delhi,Cochin,DEL → BOM → COK,10:00,21:00,11h,1 stop,No info,7933
Multiple carriers,15/06/2019,Delhi,Cochin,DEL → BOM → COK,04:55,12:35,7h 40m,1 stop,No info,10678
