Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Jet Airways,27/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,09:40,12:35 28 Jun,26h 55m,2 stops,In-flight meal not included,11118
IndiGo,3/03/2019,Delhi,Cochin,DEL → BOM → COK,06:40,15:30,8h 50m,1 stop,No info,14871
Air India,24/05/2019,Kolkata,Banglore,CCU → DEL → AMD → BLR,10:00,05:25 25 May,19h 25m,2 stops,No info,15107
Air India,12/06/2019,Delhi,Cochin,DEL → BOM → COK,07:00,19:15,12h 15m,1 stop,No info,8669
GoAir,1/04/2019,Kolkata,Banglore,CCU → AMD → BLR,16:40,00:15 02 Apr,7h 35m,1 stop,No info,5171
Jet Airways,12/06/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,12:00 13 Jun,19h 30m,1 stop,In-flight meal not included,8529
Jet Airways,27/03/2019,Delhi,Cochin,DEL → BOM → COK,23:05,04:25 28 Mar,5h 20m,1 stop,In-flight meal not included,7438
IndiGo,9/06/2019,Delhi,Cochin,DEL → BOM → COK,17:10,01:30 10 Jun,8h 20m,1 stop,No info,6206
Air India,9/06/2019,Banglore,Delhi,BLR → DEL,17:00,19:45,2h 45m,non-stop,No info,7171
Jet Airways,9/06/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,14:25 10 Jun,28h 50m,1 stop,No info,14151
Jet Airways,9/06/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,08:15 10 Jun,13h 20m,1 stop,No info,14939
