Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Jet Airways,24/06/2019,Delhi,Cochin,DEL → BOM → COK,19:15,04:25 25 Jun,9h 10m,1 stop,In-flight meal not included,10262
Multiple carriers,6/03/2019,Delhi,Cochin,DEL → BOM → COK,13:55,01:35 07 Mar,11h 40m,1 stop,In-flight meal not included,15136
Jet Airways,21/03/2019,Banglore,New Delhi,BLR → BOM → DEL,20:35,10:25 19 Mar,13h 50m,1 stop,In-flight meal not included,7832
SpiceJet,24/03/2019,Chennai,Kolkata,MAA → CCU,08:20,10:35,2h 15m,non-stop,No info,3859
IndiGo,6/04/2019,Kolkata,Banglore,CCU → BLR,15:15,17:45,2h 30m,non-stop,No info,4174
Jet Airways,06/03/2019,Banglore,New Delhi,BLR → BOM → DEL,05:45,11:25,5h 40m,1 stop,No info,19225
IndiGo,9/03/2019,Delhi,Cochin,DEL → BOM → COK,04:45,21:00,16h 15m,1 stop,No info,10518
IndiGo,6/04/2019,Banglore,Delhi,BLR → DEL,07:10,10:05,2h 55m,non-stop,No info,4823
Air India,24/03/2019,Banglore,New Delhi,BLR → DEL,10:00,12:45,2h 45m,non-stop,No info,7276
Multiple carriers,9/06/2019,Delhi,Cochin,DEL → BOM → COK,10:00,19:00,9h,1 stop,No info,12192
Air Asia,1/06/2019,Delhi,Cochin,DEL → BLR → COK,16:45,07:10 02 Jun,14h 25m,1 stop,No info,11410
