Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Air India,27/05/2019,Delhi,Cochin,DEL → BLR → COK,17:40,09:35 28 May,15h 55m,1 stop,No info,7258
Jet Airways,06/03/2019,Banglore,New Delhi,BLR → BOM → DEL,21:25,20:20 07 Mar,22h 55m,1 stop,No info,17471
SpiceJet,9/05/2019,Banglore,Delhi,BLR → DEL,21:10,00:05 10 May,2h 55m,non-stop,No info,4423
IndiGo,18/06/2019,Mumbai,Hyderabad,BOM → HYD,21:20,22:50,1h 30m,non-stop,No info,2227
Multiple carriers,24/06/2019,Delhi,Cochin,DEL → BOM → COK,10:00,01:30 25 Jun,15h 30m,1 stop,No info,13377
Jet Airways,12/06/2019,Banglore,Delhi,BLR → DEL,08:20,11:20,3h,non-stop,No info,8016
Air India,09/03/2019,Banglore,New Delhi,BLR → HYD → DEL,06:50,08:50 13 Mar,26h,1 stop,No info,5626
IndiGo,21/03/2019,Banglore,New Delhi,BLR → DEL,16:55,19:45,2h 50m,non-stop,No info,6860
IndiGo,1/06/2019,Delhi,Cochin,DEL → BOM → COK,18:35,01:30 02 Jun,6h 55m,1 stop,No info,6628
Jet Airways,6/06/2019,Delhi,Cochin,DEL → BOM → COK,13:00,12:35 07 Jun,23h 35m,1 stop,In-flight meal not included,11627
SpiceJet,9/06/2019,Kolkata,Banglore,CCU → BLR,17:10,19:40,2h 30m,non-stop,No info,4174
