Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,21:25,10:45 13 Mar,13h 20m,1 stop,No info,13817
Jet Airways,15/03/2019,Banglore,New Delhi,BLR → BOM → DEL,22:55,05:05 13 Mar,6h 10m,1 stop,No info,27210
Jet Airways,18/05/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,04:40 19 May,7h 30m,1 stop,No info,13941
Air India,01/03/2019,Banglore,New Delhi,BLR → HYD → DEL,17:00,12:15 02 Mar,19h 15m,1 stop,No info,10246
IndiGo,6/05/2019,Kolkata,Banglore,CCU → BLR,17:15,19:50,2h 35m,non-stop,No info,4804
Air Asia,6/06/2019,Kolkata,Banglore,CCU → DEL → BLR,22:40,10:40 07 Jun,12h,1 stop,No info,6810
Jet Airways,1/05/2019,Banglore,Delhi,BLR → DEL,08:20,11:20,3h,non-stop,In-flight meal not included,5198
Vistara,3/05/2019,Banglore,Delhi,BLR → DEL,21:00,23:50,2h 50m,non-stop,No info,5613
IndiGo,3/03/2019,Mumbai,Hyderabad,BOM → HYD,21:20,22:45,1h 25m,non-stop,No info,4784
Jet Airways,21/03/2019,Delhi,Cochin,DEL → BOM → COK,19:45,18:50 22 Mar,23h 5m,1 stop,In-flight meal not included,5406
Air India,27/04/2019,Banglore,Delhi,BLR → DEL,13:20,16:10,2h 50m,non-stop,No info,5228
