Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
SpiceJet,18/03/2019,Mumbai,Hyderabad,BOM → HYD,05:45,07:05,1h 20m,non-stop,No info,2437
SpiceJet,1/06/2019,Mumbai,Hyderabad,BOM → HYD,22:45,00:15 02 Jun,1h 30m,non-stop,No check-in baggage included,1965
Jet Airways,21/03/2019,Banglore,New Delhi,BLR → BOM → DEL,22:50,10:25 19 Mar,11h 35m,1 stop,In-flight meal not included,7832
IndiGo,9/06/2019,Delhi,Cochin,DEL → HYD → COK,06:50,16:10,9h 20m,1 stop,No info,6442
Air India,15/05/2019,Kolkata,Banglore,CCU → IXR → DEL → BLR,05:50,08:55 16 May,27h 5m,2 stops,No info,12723
Jet Airways,12/06/2019,Banglore,Delhi,BLR → DEL,15:15,18:10,2h 55m,non-stop,No info,8016
Jet Airways,24/06/2019,Delhi,Cochin,DEL → IDR → BOM → COK,21:25,12:35 25 Jun,15h 10m,2 stops,In-flight meal not included,10199
Vistara,24/03/2019,Kolkata,Banglore,CCU → DEL → BLR,09:55,09:10 25 Mar,23h 15m,1 stop,No info,10842
Multiple carriers,12/06/2019,Delhi,Cochin,DEL → BOM → COK,12:50,21:00,8h 10m,1 stop,No info,7005
Air Asia,3/05/2019,Kolkata,Banglore,CCU → BLR,10:20,12:55,2h 35m,non-stop,No info,4409
