Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Jet Airways,18/03/2019,Banglore,New Delhi,BLR → BOM → DEL,18:40,07:40 16 Mar,13h,1 stop,In-flight meal not included,10972
Multiple carriers,18/05/2019,Delhi,Cochin,DEL → BOM → COK,10:20,21:00,10h 40m,1 stop,No info,7670
Air India,15/05/2019,Delhi,Cochin,DEL → BOM → COK,10:00,19:15,9h 15m,1 stop,No info,8372
IndiGo,1/06/2019,Delhi,Cochin,DEL → BOM → COK,15:00,01:30 02 Jun,10h 30m,1 stop,No info,6628
Jet Airways,9/06/2019,Delhi,Cochin,DEL → BOM → COK,13:00,12:35 10 Jun,23h 35m,1 stop,In-flight meal not included,10262
Jet Airways,24/05/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,09:20 25 May,16h 50m,1 stop,No info,14178
Jet Airways,27/03/2019,Delhi,Cochin,DEL → MAA → BOM → COK,05:10,18:50,13h 40m,2 stops,In-flight meal not included,8518
Jet Airways,24/06/2019,Delhi,Cochin,DEL → NAG → BOM → COK,14:35,12:35 25 Jun,22h,2 stops,No info,13376
Vistara,12/06/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,10:45 13 Jun,17h 45m,1 stop,No info,8452
Jet Airways,24/06/2019,Delhi,Cochin,DEL → BOM → COK,02:15,12:35,10h 20m,1 stop,No info,18371
SpiceJet,3/04/2019,Mumbai,Hyderabad,BOM → HYD,13:15,14:45,1h 30m,non-stop,No check-in baggage included,1965
