Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Jet Airways,18/05/2019,Delhi,Cochin,DEL → BOM → COK,10:00,19:00,9h,1 stop,No info,15554
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,05:45,16:10,10h 25m,1 stop,No info,26890
Jet Airways,21/05/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,09:45 22 May,16h 45m,1 stop,No info,13067
Jet Airways,1/04/2019,Banglore,Delhi,BLR → DEL,06:00,08:45,2h 45m,non-stop,In-flight meal not included,4544
Vistara,21/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:20,22:40 22 May,26h 20m,1 stop,No info,8452
Multiple carriers,27/06/2019,Delhi,Cochin,DEL → BOM → COK,06:00,19:15,13h 15m,1 stop,In-flight meal not included,7268
Multiple carriers,9/05/2019,Delhi,Cochin,DEL → BOM → COK,08:30,19:00,10h 30m,1 stop,No info,9627
Multiple carriers,9/05/2019,Delhi,Cochin,DEL → BOM → COK,11:25,19:00,7h 35m,1 stop,No info,9103
Multiple carriers,9/04/2019,Delhi,Cochin,DEL → BOM → COK,08:00,19:00,11h,1 stop,No info,11142
IndiGo,9/03/2019,Kolkata,Banglore,CCU → BLR,05:30,08:20,2h 50m,non-stop,No info,4148
Jet Airways,18/05/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,18:15 19 May,25h 45m,1 stop,In-flight meal not included,10844
