Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → HYD → COK,07:10,22:30,15h 20m,1 stop,No info,6513
Jet Airways,21/05/2019,Delhi,Cochin,DEL → BOM → COK,02:15,04:25 22 May,26h 10m,1 stop,In-flight meal not included,12898
Air India,1/06/2019,Delhi,Cochin,DEL → GOI → BOM → COK,22:00,19:15 02 Jun,21h 15m,2 stops,No info,10861
IndiGo,21/06/2019,Mumbai,Hyderabad,BOM → HYD,19:05,20:35,1h 30m,non-stop,No info,4049
Jet Airways,18/03/2019,Banglore,New Delhi,BLR → BOM → DEL,11:40,05:05 16 Mar,17h 25m,1 stop,No info,13555
Jet Airways,27/05/2019,Delhi,Cochin,DEL → BOM → COK,02:15,19:00,16h 45m,1 stop,No info,16079
IndiGo,6/03/2019,Delhi,Cochin,DEL → COK,05:35,08:50,3h 15m,non-stop,No info,7673
Multiple carriers Premium economy,21/03/2019,Delhi,Cochin,DEL → BOM → COK,08:55,19:15,10h 20m,1 stop,No info,10161
Jet Airways,12/06/2019,Delhi,Cochin,DEL → BOM → COK,02:15,12:35,10h 20m,1 stop,In-flight meal not included,10262
SpiceJet,3/05/2019,Kolkata,Banglore,CCU → BLR,06:55,09:30,2h 35m,non-stop,No info,3873
SpiceJet,3/06/2019,Banglore,Delhi,BLR → DEL,21:10,00:05 04 Jun,2h 55m,non-stop,No info,3311
