Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Air India,21/03/2019,Banglore,New Delhi,BLR → COK → DEL,06:55,23:20,16h 25m,1 stop,No info,6987
Jet Airways,27/03/2019,Delhi,Cochin,DEL → BHO → BOM → COK,05:40,04:25 28 Mar,22h 45m,2 stops,No info,12074
Multiple carriers,6/06/2019,Delhi,Cochin,DEL → BOM → COK,11:25,19:15,7h 50m,1 stop,No info,7354
Air India,3/06/2019,Delhi,Cochin,DEL → CCU → BOM → COK,16:55,19:15 04 Jun,26h 20m,2 stops,No info,13381
Air India,15/06/2019,Delhi,Cochin,DEL → COK,05:10,08:00,2h 50m,non-stop,No info,5201
Jet Airways,1/05/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,12:00 02 May,19h 30m,1 stop,In-flight meal not included,9663
Air India,9/05/2019,Delhi,Cochin,DEL → COK,18:05,21:10,3h 5m,non-stop,No info,6094
Jet Airways,12/05/2019,Delhi,Cochin,DEL → COK,11:00,14:15,3h 15m,non-stop,In-flight meal not included,7202
Vistara,6/06/2019,Chennai,Kolkata,MAA → CCU,17:45,20:05,2h 20m,non-stop,No info,11982
Jet Airways,21/03/2019,Banglore,New Delhi,BLR → BOM → DEL,07:00,16:10,9h 10m,1 stop,In-flight meal not included,7832
