Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
SpiceJet,18/03/2019,Kolkata,Banglore,CCU → BLR,17:15,19:45,2h 30m,non-stop,No check-in baggage included,4413
Jet Airways,1/06/2019,Delhi,Cochin,DEL → NAG → BOM → COK,14:35,12:35 02 Jun,22h,2 stops,In-flight meal not included,10919
IndiGo,9/05/2019,Kolkata,Banglore,CCU → BLR,21:25,00:05 10 May,2h 40m,non-stop,No info,4804
Jet Airways,6/06/2019,Kolkata,Banglore,CCU → DEL → BLR,20:25,10:55 07 Jun,14h 30m,1 stop,In-flight meal not included,10539
IndiGo,09/03/2019,Banglore,New Delhi,BLR → DEL,22:20,01:10 13 Mar,2h 50m,non-stop,No info,4377
Air India,6/06/2019,Banglore,Delhi,BLR → DEL,06:10,08:55,2h 45m,non-stop,No info,6961
Multiple carriers,27/05/2019,Delhi,Cochin,DEL → BOM → COK,13:00,21:00,8h,1 stop,No info,7408
IndiGo,9/05/2019,Banglore,Delhi,BLR → DEL,18:55,21:50,2h 55m,non-stop,No info,4823
IndiGo,21/03/2019,Kolkata,Banglore,CCU → BLR,14:20,16:55,2h 35m,non-stop,No info,5198
Jet Airways,1/06/2019,Delhi,Cochin,DEL → BOM → COK,17:30,19:00 02 Jun,25h 30m,1 stop,In-flight meal not included,10262
Vistara,27/04/2019,Banglore,Delhi,BLR → DEL,17:00,19:35,2h 35m,non-stop,No info,5613
