Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Jet Airways,24/06/2019,Delhi,Cochin,DEL → IDR → BOM → COK,21:25,12:35 25 Jun,15h 10m,2 stops,No info,12609
Jet Airways Business,01/03/2019,Banglore,New Delhi,BLR → MAA → DEL,09:45,14:25,4h 40m,1 stop,Business class,57209
Vistara,6/04/2019,Banglore,Delhi,BLR → DEL,09:45,12:35,2h 50m,non-stop,No info,5613
Multiple carriers,21/03/2019,Delhi,Cochin,DEL → BOM → COK,04:45,19:15,14h 30m,1 stop,No info,6630
Jet Airways,27/06/2019,Mumbai,Hyderabad,BOM → HYD,19:35,21:05,1h 30m,non-stop,No info,5678
Jet Airways,21/03/2019,Banglore,New Delhi,BLR → BOM → DEL,22:50,07:40 19 Mar,8h 50m,1 stop,In-flight meal not included,7045
IndiGo,9/03/2019,Kolkata,Banglore,CCU → BLR,14:20,16:55,2h 35m,non-stop,No info,4148
Air India,03/03/2019,Banglore,New Delhi,BLR → VGA → DEL,10:30,22:55,12h 25m,1 stop,No info,11003
Air India,18/05/2019,Delhi,Cochin,DEL → MAA → COK,06:05,09:25 19 May,27h 20m,1 stop,No info,7480
IndiGo,12/05/2019,Kolkata,Banglore,CCU → BLR,22:15,00:50 13 May,2h 35m,non-stop,No info,4804
