Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
IndiGo,24/06/2019,Mumbai,Hyderabad,BOM → HYD,16:55,18:25,1h 30m,non-stop,No info,3175
Multiple carriers,6/05/2019,Delhi,Cochin,DEL → BOM → COK,09:00,19:00,10h,1 stop,No info,10407
IndiGo,18/04/2019,Banglore,Delhi,BLR → DEL,04:00,06:50,2h 50m,non-stop,No info,4423
Vistara,9/05/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,20:20 10 May,27h 20m,1 stop,No info,9555
Jet Airways,1/04/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,16:20 02 Apr,23h 50m,1 stop,No info,12681
Jet Airways,6/06/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,04:40 07 Jun,14h 35m,1 stop,No info,13059
Jet Airways,9/05/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,10:05 10 May,17h 35m,1 stop,In-flight meal not included,8586
GoAir,6/04/2019,Banglore,Delhi,BLR → DEL,20:55,23:40,2h 45m,non-stop,No info,3419
SpiceJet,3/06/2019,Kolkata,Banglore,CCU → BLR,17:10,19:40,2h 30m,non-stop,No info,3873
Air India,6/06/2019,Kolkata,Banglore,CCU → DEL → BLR,10:00,20:25,10h 25m,1 stop,No info,10203
Jet Airways,27/05/2019,Delhi,Cochin,DEL → JAI → BOM → COK,19:30,04:25 28 May,8h 55m,2 stops,In-flight meal not included,13029
