Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Jet Airways,12/06/2019,Delhi,Cochin,DEL → ATQ → BOM → COK,18:20,12:35 13 Jun,18h 15m,2 stops,No info,14300
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,18:15,01:30 16 May,7h 15m,1 stop,No info,13727
Jet Airways,21/03/2019,Banglore,New Delhi,BLR → BOM → DEL,16:55,10:25 19 Mar,17h 30m,1 stop,In-flight meal not included,7832
Multiple carriers,9/03/2019,Delhi,Cochin,DEL → BOM → COK,04:00,12:55,8h 55m,1 stop,No info,16259
IndiGo,27/06/2019,Banglore,Delhi,BLR → DEL,08:30,11:20,2h 50m,non-stop,No info,4823
Jet Airways,06/03/2019,Banglore,New Delhi,BLR → BOM → DEL,11:40,08:15 07 Mar,20h 35m,1 stop,No info,16736
Air India,6/06/2019,Kolkata,Banglore,CCU → BOM → AMD → BLR,09:25,05:25 07 Jun,20h,2 stops,No info,13217
Multiple carriers,27/03/2019,Delhi,Cochin,DEL → BOM → COK,12:50,21:00,8h 10m,1 stop,No info,6637
Jet Airways,9/06/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,12:00 10 Jun,17h 5m,1 stop,In-flight meal not included,10844
Multiple carriers,21/03/2019,Delhi,Cochin,DEL → BOM → COK,10:00,19:15,9h 15m,1 stop,In-flight meal not included,8401
SpiceJet,12/04/2019,Kolkata,Banglore,CCU → BLR,09:00,11:25,2h 25m,non-stop,No info,3873
