Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
SpiceJet,6/05/2019,Banglore,Delhi,BLR → DEL,09:30,12:20,2h 50m,non-stop,No info,3971
Multiple carriers,27/06/2019,Delhi,Cochin,DEL → BOM → COK,06:00,21:00,15h,1 stop,In-flight meal not included,6007
Air India,15/03/2019,Banglore,New Delhi,BLR → VGA → DEL,10:30,22:55,12h 25m,1 stop,No info,6383
IndiGo,12/05/2019,Banglore,Delhi,BLR → DEL,08:30,11:20,2h 50m,non-stop,No info,5740
SpiceJet,15/06/2019,Mumbai,Hyderabad,BOM → HYD,13:15,14:45,1h 30m,non-stop,No check-in baggage included,1965
Multiple carriers,21/03/2019,Delhi,Cochin,DEL → HYD → MAA → COK,07:10,21:20,14h 10m,2 stops,In-flight meal not included,5935
IndiGo,6/04/2019,Kolkata,Banglore,CCU → BLR,09:35,12:20,2h 45m,non-stop,No info,4174
IndiGo,21/03/2019,Delhi,Cochin,DEL → BOM → COK,04:45,13:20,8h 35m,1 stop,No info,7738
Air India,24/05/2019,Delhi,Cochin,DEL → GOI → BOM → COK,22:00,19:15 25 May,21h 15m,2 stops,No info,10441
Air India,15/03/2019,Mumbai,Hyderabad,BOM → HYD,21:05,22:25,1h 20m,non-stop,No info,3100
Jet Airways,6/06/2019,Delhi,Cochin,DEL → BOM → COK,17:30,19:00 07 Jun,25h 30m,1 stop,No info,14714
