Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Multiple carriers,9/06/2019,Delhi,Cochin,DEL → HYD → COK,07:10,16:10,9h,1 stop,No info,6513
Air India,15/05/2019,Kolkata,Banglore,CCU → BOM → COK → BLR,16:50,13:45 16 May,20h 55m,2 stops,No info,15532
Jet Airways,6/06/2019,Delhi,Cochin,DEL → BOM → COK,22:50,19:00 07 Jun,20h 10m,1 stop,No info,14714
Vistara,18/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:20,10:45 19 May,14h 25m,1 stop,No info,9187
Multiple carriers,6/06/2019,Delhi,Cochin,DEL → HYD → COK,14:55,22:30,7h 35m,1 stop,No info,7038
Multiple carriers,6/06/2019,Delhi,Cochin,DEL → BOM → COK,14:00,21:00,7h,1 stop,No info,13587
Jet Airways,3/06/2019,Banglore,Delhi,BLR → DEL,11:10,14:05,2h 55m,non-stop,No info,8016
IndiGo,6/06/2019,Mumbai,Hyderabad,BOM → HYD,09:15,10:45,1h 30m,non-stop,No info,4049
Jet Airways,6/03/2019,Mumbai,Hyderabad,BOM → HYD,07:10,08:35,1h 25m,non-stop,No info,9536
Jet Airways,24/05/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,18:15,9h 50m,1 stop,No info,14571
Jet Airways,6/06/2019,Delhi,Cochin,DEL → JDH → BOM → COK,11:40,19:00,7h 20m,2 stops,In-flight meal not included,15812
