Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Jet Airways,6/06/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,04:40 07 Jun,9h 45m,1 stop,No info,13374
Air India,1/05/2019,Mumbai,Hyderabad,BOM → HYD,21:05,22:25,1h 20m,non-stop,No info,3625
Jet Airways,21/05/2019,Delhi,Cochin,DEL → BOM → COK,16:00,19:00 22 May,27h,1 stop,No info,16079
Jet Airways,27/06/2019,Delhi,Cochin,DEL → BOM → COK,20:55,12:35 28 Jun,15h 40m,1 stop,In-flight meal not included,10262
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,12:00,5h 30m,1 stop,In-flight meal not included,9663
Multiple carriers,18/05/2019,Delhi,Cochin,DEL → BOM → COK,18:00,01:30 19 May,7h 30m,1 stop,No info,9595
IndiGo,24/06/2019,Kolkata,Banglore,CCU → BLR,17:15,19:50,2h 35m,non-stop,No info,4804
Air India,9/06/2019,Kolkata,Banglore,CCU → DEL → AMD → BLR,10:00,05:25 10 Jun,19h 25m,2 stops,No info,12744
Air India,1/06/2019,Banglore,Delhi,BLR → DEL,13:20,16:10,2h 50m,non-stop,No info,6961
Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,04:40 07 May,14h 35m,1 stop,In-flight meal not included,9663
Multiple carriers,21/05/2019,Delhi,Cochin,DEL → BOM → COK,10:35,19:15,8h 40m,1 stop,No info,7575
