Unnamed: 0,airline,flight,source_city,departure_time,stops,arrival_time,destination_city,class,duration,days_left,price
190818,SpiceJet,SG-612,Chennai,Night,zero,Night,Mumbai,Economy,2.0,27,3150
121244,Air_India,AI-402,Kolkata,Morning,zero,Afternoon,Delhi,Economy,2.5,13,6489
10551,Vistara,UK-637,Delhi,Evening,one,Morning,Bangalore,Economy,15.67,4,14767
291881,Air_India,AI-672,Chennai,Evening,zero,Evening,Mumbai,Business,2.17,26,23424
61885,GO_FIRST,G8-244,Mumbai,Evening,one,Morning,Kolkata,Economy,14.5,4,7412
114698,Vistara,UK-852,Bangalore,Morning,one,Night,Hyderabad,Economy,11.42,43,5322
44217,Air_India,AI-9657,Mumbai,Evening,one,Evening,Delhi,Economy,21.67,8,22481
167491,Air_India,AI-9881,Hyderabad,Afternoon,one,Night,Bangalore,Economy,9.25,21,5661
150770,Indigo,6E-294,Kolkata,Evening,zero,Night,Chennai,Economy,2.42,30,7539
181410,AirAsia,I5-319,Chennai,Morning,one,Night,Delhi,Economy,11.67,10,12319
