Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Vistara,12/06/2019,Kolkata,Banglore,CCU → DEL → BLR,07:10,22:40,15h 30m,1 stop,No info,8452
Air India,12/05/2019,Kolkata,Banglore,CCU → GAU → DEL → BLR,16:45,08:55 13 May,16h 10m,2 stops,No info,13437
Vistara,18/05/2019,Chennai,Kolkata,MAA → CCU,17:45,20:05,2h 20m,non-stop,No info,11982
Jet Airways,24/05/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,12:00 25 May,17h 5m,1 stop,In-flight meal not included,10844
Jet Airways,9/05/2019,Delhi,Cochin,DEL → JAI → BOM → COK,09:40,04:25 10 May,18h 45m,2 stops,No info,15129
Jet Airways,27/06/2019,Delhi,Cochin,DEL → BOM → COK,14:00,19:00,5h,1 stop,No info,14714
IndiGo,27/06/2019,Delhi,Cochin,DEL → BOM → COK,06:40,21:00,14h 20m,1 stop,No info,6093
IndiGo,6/04/2019,Delhi,Cochin,DEL → BOM → COK,04:55,13:20,8h 25m,1 stop,No info,5307
GoAir,15/05/2019,Delhi,Cochin,DEL → BOM → COK,14:25,19:35,5h 10m,1 stop,No info,10188
Jet Airways,6/06/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,08:15 07 Jun,12h 15m,1 stop,No info,14571
Jet Airways,27/03/2019,Delhi,Cochin,DEL → AMD → BOM → COK,19:10,04:25 28 Mar,9h 15m,2 stops,No info,10976
