Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
SpiceJet,27/06/2019,Mumbai,Hyderabad,BOM → HYD,22:45,00:15 28 Jun,1h 30m,non-stop,No check-in baggage included,1965
IndiGo,27/03/2019,Delhi,Cochin,DEL → HYD → COK,07:35,16:10,8h 35m,1 stop,No info,6442
Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,16:20 07 May,23h 50m,1 stop,No info,13941
Air India,3/03/2019,Delhi,Cochin,DEL → BLR → COK,06:10,23:00,16h 50m,1 stop,No info,13002
Air India,24/06/2019,Delhi,Cochin,DEL → BLR → COK,13:30,23:00,9h 30m,1 stop,No info,8907
Jet Airways,27/05/2019,Delhi,Cochin,DEL → IDR → BOM → COK,09:35,12:35 28 May,27h,2 stops,No info,14657
SpiceJet,6/05/2019,Kolkata,Banglore,CCU → BLR,22:20,00:40 07 May,2h 20m,non-stop,No info,3873
Jet Airways,21/05/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,23:35,9h 30m,1 stop,No info,14781
Air India,18/06/2019,Banglore,Delhi,BLR → DEL,21:05,23:55,2h 50m,non-stop,No info,5228
Air Asia,09/03/2019,Banglore,New Delhi,BLR → DEL,05:50,08:40,2h 50m,non-stop,No info,7652
Jet Airways,24/03/2019,Banglore,New Delhi,BLR → DEL,08:20,11:15,2h 55m,non-stop,No info,7229
