Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Multiple carriers,1/03/2019,Delhi,Cochin,DEL → BOM → COK,12:50,19:15,6h 25m,1 stop,No info,36983
IndiGo,3/06/2019,Chennai,Kolkata,MAA → CCU,19:35,21:55,2h 20m,non-stop,No info,3597
Air India,09/03/2019,Banglore,New Delhi,BLR → DEL,17:00,19:45,2h 45m,non-stop,No info,10741
Air India,6/06/2019,Kolkata,Banglore,CCU → BOM → GOI → BLR,16:50,05:35 07 Jun,12h 45m,2 stops,No info,11432
Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,18:55,10:45 13 Mar,15h 50m,1 stop,In-flight meal not included,11087
Jet Airways,3/06/2019,Delhi,Cochin,DEL → IDR → BOM → COK,09:35,12:35 04 Jun,27h,2 stops,No info,13292
Air India,15/06/2019,Delhi,Cochin,DEL → RPR → NAG → BOM → COK,05:15,07:40 16 Jun,26h 25m,3 stops,No info,10493
GoAir,09/03/2019,Banglore,New Delhi,BLR → DEL,07:45,10:40,2h 55m,non-stop,No info,7631
Air India,6/06/2019,Delhi,Cochin,DEL → CCU → BOM → COK,06:50,07:40 07 Jun,24h 50m,2 stops,No info,13381
Jet Airways,6/06/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,04:40 07 Jun,8h 40m,1 stop,No info,13731
Air India,21/05/2019,Delhi,Cochin,DEL → BHO → BOM → COK,05:55,07:40 22 May,25h 45m,2 stops,No info,11911
