Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Jet Airways,27/03/2019,Delhi,Cochin,DEL → BOM → COK,02:15,04:25 28 Mar,26h 10m,1 stop,No info,12242
Multiple carriers,24/06/2019,Delhi,Cochin,DEL → BOM → COK,11:25,19:00,7h 35m,1 stop,No info,10678
Multiple carriers,27/05/2019,Delhi,Cochin,DEL → BOM → COK,08:00,21:00,13h,1 stop,In-flight meal not included,9450
IndiGo,6/04/2019,Kolkata,Banglore,CCU → BLR,21:25,00:05 07 Apr,2h 40m,non-stop,No info,4174
Jet Airways,6/04/2019,Banglore,Delhi,BLR → DEL,07:10,10:10,3h,non-stop,In-flight meal not included,4544
IndiGo,15/05/2019,Kolkata,Banglore,CCU → MAA → BLR,17:35,22:15,4h 40m,1 stop,No info,5386
Jet Airways,24/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,19:10,19:00 25 May,23h 50m,2 stops,No info,15129
IndiGo,15/06/2019,Delhi,Cochin,DEL → HYD → COK,14:20,22:30,8h 10m,1 stop,No info,6412
Jet Airways,27/06/2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,04:25 29 Jun,29h 20m,2 stops,No info,15339
Jet Airways,24/03/2019,Banglore,New Delhi,BLR → DEL,02:00,04:45,2h 45m,non-stop,No info,7229
