Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,11:40,11:25 02 Mar,23h 45m,1 stop,No info,25735
Jet Airways,12/06/2019,Delhi,Cochin,DEL → LKO → BOM → COK,09:25,04:25 13 Jun,19h,2 stops,No info,13882
Vistara,18/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:20,18:50 19 May,22h 30m,1 stop,No info,9555
IndiGo,27/04/2019,Kolkata,Banglore,CCU → BLR,20:20,22:55,2h 35m,non-stop,No info,4804
Vistara,15/03/2019,Chennai,Kolkata,MAA → CCU,07:05,09:20,2h 15m,non-stop,No info,6627
Jet Airways,12/05/2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,12:00,5h 30m,1 stop,In-flight meal not included,8586
IndiGo,9/05/2019,Kolkata,Banglore,CCU → BLR,22:15,00:50 10 May,2h 35m,non-stop,No info,4804
Air India,01/03/2019,Banglore,New Delhi,BLR → BOM → AMD → DEL,08:50,23:55 02 Mar,39h 5m,2 stops,No info,17135
Jet Airways,9/05/2019,Delhi,Cochin,DEL → BOM → COK,10:00,19:00,9h,1 stop,No info,15554
IndiGo,27/05/2019,Delhi,Cochin,DEL → BOM → COK,08:30,21:00,12h 30m,1 stop,No info,6838
IndiGo,3/03/2019,Delhi,Cochin,DEL → HYD → COK,07:35,12:00,4h 25m,1 stop,No info,8258
