Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Air India,1/06/2019,Delhi,Cochin,DEL → HYD → BOM → COK,17:15,19:15 02 Jun,26h,2 stops,No info,12970
Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,10:05 25 Mar,12h 55m,1 stop,No info,14914
Jet Airways,6/05/2019,Mumbai,Hyderabad,BOM → HYD,02:55,04:20,1h 25m,non-stop,In-flight meal not included,3210
GoAir,21/04/2019,Banglore,Delhi,BLR → DEL,07:45,10:40,2h 55m,non-stop,No info,4632
Jet Airways,9/05/2019,Delhi,Cochin,DEL → BOM → COK,17:30,04:25 10 May,10h 55m,1 stop,In-flight meal not included,12373
IndiGo,15/06/2019,Kolkata,Banglore,CCU → BLR,14:25,16:55,2h 30m,non-stop,No info,4804
Multiple carriers,3/03/2019,Delhi,Cochin,DEL → GWL → IDR → BOM → COK,11:35,21:00,9h 25m,3 stops,No info,21829
Multiple carriers,1/06/2019,Delhi,Cochin,DEL → BOM → COK,08:00,21:00,13h,1 stop,No info,13587
Jet Airways,27/06/2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,04:25 29 Jun,29h 20m,2 stops,No info,12819
Air Asia,27/03/2019,Delhi,Cochin,DEL → BLR → COK,20:10,07:10 28 Mar,11h,1 stop,No info,6151
Jet Airways,1/06/2019,Banglore,Delhi,BLR → DEL,15:15,18:10,2h 55m,non-stop,No info,8016
