Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Jet Airways,18/05/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,12:00 19 May,21h 55m,1 stop,In-flight meal not included,9663
Air India,01/03/2019,Banglore,New Delhi,BLR → COK → DEL,22:00,23:20 02 Mar,25h 20m,1 stop,Change airports,14305
Air Asia,15/05/2019,Delhi,Cochin,DEL → BLR → COK,16:45,07:10 16 May,14h 25m,1 stop,No info,6752
Jet Airways,12/06/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,09:20 13 Jun,16h 50m,1 stop,In-flight meal not included,8529
IndiGo,27/03/2019,Delhi,Cochin,DEL → COK,05:35,08:50,3h 15m,non-stop,No info,4729
Multiple carriers,18/05/2019,Delhi,Cochin,DEL → BOM → COK,08:45,21:00,12h 15m,1 stop,No info,7670
Jet Airways,3/05/2019,Mumbai,Hyderabad,BOM → HYD,10:20,11:50,1h 30m,non-stop,In-flight meal not included,4995
Jet Airways,1/05/2019,Banglore,Delhi,BLR → DEL,08:20,11:20,3h,non-stop,No info,7229
IndiGo,27/04/2019,Banglore,Delhi,BLR → DEL,07:10,10:05,2h 55m,non-stop,No info,4823
Air Asia,27/03/2019,Kolkata,Banglore,CCU → BLR,19:35,22:05,2h 30m,non-stop,No info,3782
Jet Airways,21/05/2019,Delhi,Cochin,DEL → BOM → COK,18:15,19:00 22 May,24h 45m,1 stop,In-flight meal not included,12898
