Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
SpiceJet,18/05/2019,Banglore,Delhi,BLR → DEL,05:55,08:35,2h 40m,non-stop,No check-in baggage included,3573
Jet Airways,18/05/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,16:20 19 May,20h 20m,1 stop,In-flight meal not included,10844
IndiGo,21/04/2019,Kolkata,Banglore,CCU → BLR,22:15,00:50 22 Apr,2h 35m,non-stop,No info,4804
Air India,27/06/2019,Delhi,Cochin,DEL → COK,14:10,17:10,3h,non-stop,No info,5201
Multiple carriers,18/05/2019,Delhi,Cochin,DEL → BOM → COK,13:00,19:15,6h 15m,1 stop,No info,14533
SpiceJet,12/04/2019,Kolkata,Banglore,CCU → BLR,22:20,00:40 13 Apr,2h 20m,non-stop,No info,3873
SpiceJet,6/06/2019,Chennai,Kolkata,MAA → CCU,17:45,20:05,2h 20m,non-stop,No check-in baggage included,3543
Multiple carriers,21/03/2019,Delhi,Cochin,DEL → BOM → COK,10:20,21:00,10h 40m,1 stop,No info,7215
Multiple carriers,21/03/2019,Delhi,Cochin,DEL → BOM → COK,10:20,18:50,8h 30m,1 stop,No info,11999
IndiGo,18/05/2019,Mumbai,Hyderabad,BOM → HYD,12:00,13:30,1h 30m,non-stop,No info,2754
Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,18:55,10:45 13 Mar,15h 50m,1 stop,No info,13817
