Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
IndiGo,3/06/2019,Delhi,Cochin,DEL → BOM → COK,15:00,01:30 04 Jun,10h 30m,1 stop,No info,6104
IndiGo,1/06/2019,Banglore,Delhi,BLR → DEL,10:30,13:20,2h 50m,non-stop,No info,3943
Jet Airways,12/06/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,08:15 13 Jun,11h 5m,1 stop,In-flight meal not included,8529
Jet Airways,24/06/2019,Delhi,Cochin,DEL → BOM → COK,22:50,12:35 25 Jun,13h 45m,1 stop,In-flight meal not included,10262
Jet Airways,18/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:25,22:05 19 May,25h 40m,1 stop,No info,14151
Air Asia,9/05/2019,Kolkata,Banglore,CCU → IXR → DEL → BLR,15:10,23:30,8h 20m,2 stops,No info,5192
Jet Airways,21/05/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,04:40 22 May,14h 35m,1 stop,In-flight meal not included,9663
GoAir,24/04/2019,Banglore,Delhi,BLR → DEL,07:45,10:40,2h 55m,non-stop,No info,4632
IndiGo,6/04/2019,Delhi,Cochin,DEL → BOM → COK,20:25,01:30 07 Apr,5h 5m,1 stop,No info,5073
Multiple carriers,15/06/2019,Delhi,Cochin,DEL → BOM → COK,10:20,19:15,8h 55m,1 stop,No info,9526
