Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Jet Airways,24/05/2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,18:15,11h 45m,1 stop,No info,14571
GoAir,24/06/2019,Delhi,Cochin,DEL → AMD → COK,07:25,13:35,6h 10m,1 stop,No info,4692
Jet Airways,15/06/2019,Delhi,Cochin,DEL → NAG → BOM → COK,14:35,04:25 16 Jun,13h 50m,2 stops,In-flight meal not included,10919
Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,19:50,11h 25m,1 stop,In-flight meal not included,10844
Jet Airways,21/05/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,16:20 22 May,20h 20m,1 stop,In-flight meal not included,10844
Air India,9/05/2019,Delhi,Cochin,DEL → COK,14:10,17:10,3h,non-stop,No info,6094
Vistara,1/06/2019,Delhi,Cochin,DEL → COK,14:40,17:50,3h 10m,non-stop,No info,6741
Air India,1/06/2019,Delhi,Cochin,DEL → MAA → COK,09:45,09:25 02 Jun,23h 40m,1 stop,No info,8372
Multiple carriers,21/05/2019,Delhi,Cochin,DEL → BOM → COK,02:15,11:50,9h 35m,1 stop,No info,14067
IndiGo,3/03/2019,Delhi,Cochin,DEL → HYD → COK,08:35,22:20,13h 45m,1 stop,No info,10236
