Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Air India,15/05/2019,Kolkata,Banglore,CCU → BOM → BLR,16:50,07:55 16 May,15h 5m,1 stop,No info,8891
IndiGo,6/06/2019,Delhi,Cochin,DEL → BOM → COK,10:35,01:30 07 Jun,14h 55m,1 stop,No info,5883
Jet Airways,27/06/2019,Delhi,Cochin,DEL → BOM → COK,13:00,12:35 28 Jun,23h 35m,1 stop,In-flight meal not included,10262
Jet Airways,9/06/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,20:45 10 Jun,23h 35m,1 stop,In-flight meal not included,10844
Jet Airways,9/05/2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,19:50,13h 20m,1 stop,No info,14781
IndiGo,15/03/2019,Chennai,Kolkata,MAA → CCU,14:40,17:05,2h 25m,non-stop,No info,6297
Air Asia,12/05/2019,Kolkata,Banglore,CCU → BLR,22:50,01:20 13 May,2h 30m,non-stop,No info,4409
Air India,9/06/2019,Delhi,Cochin,DEL → GOI → BOM → COK,10:55,19:15,8h 20m,2 stops,No info,12383
SpiceJet,3/05/2019,Mumbai,Hyderabad,BOM → HYD,13:15,14:45,1h 30m,non-stop,No info,2017
Air India,6/03/2019,Mumbai,Hyderabad,BOM → DEL → HYD,19:00,09:10 07 Mar,14h 10m,1 stop,No info,12308
