Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Jet Airways,6/06/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,23:35,9h 30m,1 stop,In-flight meal not included,10844
Air India,18/05/2019,Banglore,Delhi,BLR → DEL,17:00,19:45,2h 45m,non-stop,No info,7171
Air India,27/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,18:45,19:15 28 Jun,24h 30m,2 stops,No info,11942
IndiGo,27/04/2019,Banglore,Delhi,BLR → DEL,10:30,13:20,2h 50m,non-stop,No info,4423
Vistara,18/03/2019,Delhi,Cochin,DEL → COK,14:55,17:50,2h 55m,non-stop,No info,5586
Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,16:55,12:00 25 Mar,19h 5m,1 stop,In-flight meal not included,11134
Air Asia,24/03/2019,Banglore,New Delhi,BLR → DEL,05:50,08:40,2h 50m,non-stop,No info,4284
Air India,1/05/2019,Kolkata,Banglore,CCU → BLR,14:15,16:45,2h 30m,non-stop,No info,6245
SpiceJet,15/03/2019,Banglore,New Delhi,BLR → PNQ → DEL,10:20,18:15,7h 55m,1 stop,No info,10341
SpiceJet,03/03/2019,Banglore,New Delhi,BLR → DEL,05:45,08:35,2h 50m,non-stop,No info,6860
Air India,3/04/2019,Mumbai,Hyderabad,BOM → HYD,19:30,20:45,1h 15m,non-stop,No info,2050
