Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
IndiGo,9/05/2019,Delhi,Cochin,DEL → BOM → COK,11:25,01:30 10 May,14h 5m,1 stop,No info,8330
IndiGo,21/05/2019,Banglore,Delhi,BLR → DEL,07:10,10:05,2h 55m,non-stop,No info,4823
IndiGo,27/05/2019,Delhi,Cochin,DEL → BOM → COK,17:10,01:30 28 May,8h 20m,1 stop,No info,6206
Multiple carriers,6/06/2019,Delhi,Cochin,DEL → BOM → COK,11:25,19:00,7h 35m,1 stop,No info,10877
Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,18:55,08:15 13 Mar,13h 20m,1 stop,No info,13817
Jet Airways,27/06/2019,Banglore,Delhi,BLR → DEL,08:20,11:20,3h,non-stop,In-flight meal not included,6478
Air India,9/04/2019,Delhi,Cochin,DEL → HYD → BOM → COK,13:05,07:40 10 Apr,18h 35m,2 stops,No info,8577
Jet Airways,21/05/2019,Delhi,Cochin,DEL → BOM → COK,21:50,19:00 22 May,21h 10m,1 stop,No info,16079
Jet Airways,27/06/2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,12:35 28 Jun,13h 30m,2 stops,In-flight meal not included,11150
Multiple carriers,6/03/2019,Delhi,Cochin,DEL → BOM → COK,06:40,19:15,12h 35m,1 stop,No info,15077
