Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Vistara,27/05/2019,Banglore,Delhi,BLR → DEL,11:30,14:20,2h 50m,non-stop,No info,4668
SpiceJet,3/06/2019,Delhi,Cochin,DEL → PNQ → COK,08:45,13:15,4h 30m,1 stop,No check-in baggage included,5726
Air India,12/06/2019,Kolkata,Banglore,CCU → GAU → DEL → BLR,09:50,23:15,13h 25m,2 stops,No info,14960
Air India,21/05/2019,Delhi,Cochin,DEL → MAA → COK,20:40,09:25 22 May,12h 45m,1 stop,No info,7480
Air Asia,21/05/2019,Kolkata,Banglore,CCU → BLR,19:55,22:25,2h 30m,non-stop,No info,4107
Jet Airways,1/05/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,09:45 02 May,24h 10m,1 stop,No info,11467
IndiGo,27/04/2019,Delhi,Cochin,DEL → MAA → COK,02:00,07:25,5h 25m,1 stop,No info,5796
Jet Airways,6/06/2019,Delhi,Cochin,DEL → BOM → COK,02:15,19:00,16h 45m,1 stop,In-flight meal not included,10262
Air India,27/06/2019,Delhi,Cochin,DEL → RPR → NAG → BOM → COK,05:15,07:40 28 Jun,26h 25m,3 stops,No info,11543
IndiGo,24/04/2019,Delhi,Cochin,DEL → HYD → COK,06:50,12:10,5h 20m,1 stop,No info,5298
Air Asia,27/04/2019,Delhi,Cochin,DEL → BLR → COK,20:45,07:10 28 Apr,10h 25m,1 stop,No info,6451
