Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Multiple carriers,3/06/2019,Delhi,Cochin,DEL → BOM → COK,06:00,19:15,13h 15m,1 stop,No info,9736
Jet Airways,21/03/2019,Banglore,New Delhi,BLR → MAA → DEL,09:45,14:25,4h 40m,1 stop,In-flight meal not included,7280
Multiple carriers,9/06/2019,Delhi,Cochin,DEL → BOM → COK,08:00,21:00,13h,1 stop,No info,7408
Jet Airways,12/06/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,12:00 13 Jun,16h,1 stop,No info,13044
Air India,24/05/2019,Kolkata,Banglore,CCU → IXR → DEL → BLR,05:50,23:15,17h 25m,2 stops,No info,12723
Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,04:40 07 May,12h 10m,1 stop,In-flight meal not included,8586
IndiGo,12/06/2019,Delhi,Cochin,DEL → BOM → COK,16:00,01:30 13 Jun,9h 30m,1 stop,No info,6316
Jet Airways,9/05/2019,Delhi,Cochin,DEL → BOM → COK,09:00,19:00,10h,1 stop,No info,15554
SpiceJet,15/03/2019,Mumbai,Hyderabad,BOM → HYD,13:10,14:30,1h 20m,non-stop,No check-in baggage included,2385
Multiple carriers,9/06/2019,Delhi,Cochin,DEL → BOM → COK,13:00,21:00,8h,1 stop,No info,13587
IndiGo,3/03/2019,Delhi,Cochin,DEL → BBI → COK,02:35,08:30,5h 55m,1 stop,No info,13790
