Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
SpiceJet,24/04/2019,Banglore,Delhi,BLR → DEL,05:55,08:35,2h 40m,non-stop,No info,3971
Jet Airways,12/06/2019,Delhi,Cochin,DEL → BOM → COK,22:50,04:25 13 Jun,5h 35m,1 stop,In-flight meal not included,10262
IndiGo,6/05/2019,Chennai,Kolkata,MAA → CCU,13:15,15:35,2h 20m,non-stop,No info,3597
Air India,9/06/2019,Delhi,Cochin,DEL → JDH → BOM → COK,12:55,19:15 10 Jun,30h 20m,2 stops,No info,12436
Jet Airways,6/06/2019,Delhi,Cochin,DEL → BOM → COK,13:00,19:00,6h,1 stop,No info,14714
Jet Airways,21/05/2019,Delhi,Cochin,DEL → BOM → COK,19:45,12:35 22 May,16h 50m,1 stop,In-flight meal not included,12898
SpiceJet,24/03/2019,Kolkata,Banglore,CCU → IXB → BLR,11:15,18:15,7h,1 stop,No info,12287
IndiGo,21/05/2019,Delhi,Cochin,DEL → LKO → COK,21:50,03:35 22 May,5h 45m,1 stop,No info,7189
Air India,21/05/2019,Banglore,Delhi,BLR → DEL,17:00,19:50,2h 50m,non-stop,No info,6961
Air India,24/03/2019,Kolkata,Banglore,CCU → IXB → DEL → BLR,13:55,23:15 25 Mar,33h 20m,2 stops,No info,15292
Jet Airways,1/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,05:30,19:00,13h 30m,2 stops,In-flight meal not included,10368
