Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
SpiceJet,27/03/2019,Mumbai,Hyderabad,BOM → HYD,05:45,07:05,1h 20m,non-stop,No info,1759
IndiGo,12/06/2019,Delhi,Cochin,DEL → BOM → COK,17:10,01:30 13 Jun,8h 20m,1 stop,No info,5883
Air India,3/04/2019,Banglore,Delhi,BLR → DEL,10:00,12:45,2h 45m,non-stop,No info,5176
IndiGo,27/06/2019,Kolkata,Banglore,CCU → BLR,20:25,23:10,2h 45m,non-stop,No info,4804
GoAir,21/06/2019,Banglore,Delhi,BLR → DEL,11:40,14:30,2h 50m,non-stop,No info,3398
Air India,24/05/2019,Kolkata,Banglore,CCU → BBI → BOM → BLR,12:00,07:55 25 May,19h 55m,2 stops,No info,9416
SpiceJet,21/06/2019,Kolkata,Banglore,CCU → BLR,06:55,09:30,2h 35m,non-stop,No check-in baggage included,3841
Jet Airways,27/06/2019,Delhi,Cochin,DEL → BOM → COK,20:55,19:00 28 Jun,22h 5m,1 stop,In-flight meal not included,10262
IndiGo,24/06/2019,Kolkata,Banglore,CCU → BLR,22:15,00:50 25 Jun,2h 35m,non-stop,No info,4804
Jet Airways,3/04/2019,Delhi,Cochin,DEL → BOM → COK,02:15,12:35,10h 20m,1 stop,In-flight meal not included,5177
