Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
IndiGo,9/06/2019,Kolkata,Banglore,CCU → GAU → BLR,15:10,20:30,5h 20m,1 stop,No info,7095
Air India,21/03/2019,Delhi,Cochin,DEL → BOM → COK,21:00,07:40 22 Mar,10h 40m,1 stop,No info,6902
Jet Airways,21/05/2019,Delhi,Cochin,DEL → JAI → BOM → COK,19:30,12:35 22 May,17h 5m,2 stops,In-flight meal not included,13029
Air India,9/05/2019,Delhi,Cochin,DEL → BOM → COK,10:00,19:15,9h 15m,1 stop,No info,8372
Jet Airways,24/05/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,19:50,11h 25m,1 stop,In-flight meal not included,10844
Air Asia,6/03/2019,Kolkata,Banglore,CCU → BLR,19:35,22:05,2h 30m,non-stop,No info,4384
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,22:05,12h 30m,1 stop,No info,12121
Jet Airways,21/05/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,14:25 22 May,28h 50m,1 stop,No info,11467
IndiGo,03/03/2019,Banglore,New Delhi,BLR → DEL,20:00,22:55,2h 55m,non-stop,No info,6860
Air India,15/06/2019,Delhi,Cochin,DEL → BOM → COK,10:00,19:15,9h 15m,1 stop,No info,11241
Jet Airways,24/03/2019,Kolkata,Banglore,CCU → BOM → BLR,19:45,20:40 25 Mar,24h 55m,1 stop,No info,13759
