Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Jet Airways,27/03/2019,Delhi,Cochin,DEL → IXC → BOM → COK,06:20,19:45 28 Mar,37h 25m,2 stops,In-flight meal not included,9296
IndiGo,03/03/2019,Banglore,New Delhi,BLR → DEL,16:55,19:45,2h 50m,non-stop,No info,8855
Jet Airways,6/06/2019,Delhi,Cochin,DEL → BOM → COK,21:50,19:00 07 Jun,21h 10m,1 stop,In-flight meal not included,10262
IndiGo,24/06/2019,Banglore,Delhi,BLR → DEL,06:05,08:50,2h 45m,non-stop,No info,3943
Multiple carriers,3/06/2019,Delhi,Cochin,DEL → BOM → COK,12:50,19:15,6h 25m,1 stop,No info,9001
Multiple carriers,18/05/2019,Delhi,Cochin,DEL → BOM → COK,10:20,01:30 19 May,15h 10m,1 stop,No info,7670
Multiple carriers,3/06/2019,Delhi,Cochin,DEL → BOM → COK,17:45,01:30 04 Jun,7h 45m,1 stop,No info,7530
IndiGo,1/05/2019,Kolkata,Banglore,CCU → PAT → BLR,09:20,14:15,4h 55m,1 stop,No info,8443
SpiceJet,1/04/2019,Delhi,Cochin,DEL → MAA → COK,06:05,11:20,5h 15m,1 stop,No info,5351
Vistara,21/03/2019,Delhi,Cochin,DEL → COK,06:00,09:10,3h 10m,non-stop,No info,6688
Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,20:35,19:10 13 Mar,22h 35m,1 stop,In-flight meal not included,11087
