Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Jet Airways,9/03/2019,Delhi,Cochin,DEL → IXC → BOM → COK,13:45,04:25 10 Mar,14h 40m,2 stops,In-flight meal not included,15129
Jet Airways,1/05/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,14:25 02 May,28h 50m,1 stop,No info,11467
Air India,12/06/2019,Kolkata,Banglore,CCU → MAA → BLR,14:35,14:35 13 Jun,24h,1 stop,No info,6528
Multiple carriers,27/06/2019,Delhi,Cochin,DEL → BOM → COK,07:30,19:15,11h 45m,1 stop,No info,8266
IndiGo,6/03/2019,Delhi,Cochin,DEL → HYD → COK,06:40,22:20,15h 40m,1 stop,No info,6442
Jet Airways,12/06/2019,Delhi,Cochin,DEL → BOM → COK,22:50,12:35 13 Jun,13h 45m,1 stop,In-flight meal not included,10262
Jet Airways,1/03/2019,Mumbai,Hyderabad,BOM → HYD,07:10,08:35,1h 25m,non-stop,No info,17501
Air India,24/05/2019,Banglore,Delhi,BLR → DEL,06:10,08:55,2h 45m,non-stop,No info,8273
Air India,21/03/2019,Delhi,Cochin,DEL → LKO → BOM → COK,18:30,19:15 22 Mar,24h 45m,2 stops,No info,10703
Multiple carriers,15/06/2019,Delhi,Cochin,DEL → BOM → COK,10:00,01:30 16 Jun,15h 30m,1 stop,No info,8510
IndiGo,15/03/2019,Mumbai,Hyderabad,BOM → HYD,20:05,21:35,1h 30m,non-stop,No info,2754
