Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Multiple carriers,3/06/2019,Delhi,Cochin,DEL → BOM → COK,12:50,21:00,8h 10m,1 stop,No info,7740
IndiGo,1/05/2019,Delhi,Cochin,DEL → BOM → COK,18:35,01:30 02 May,6h 55m,1 stop,No info,8854
IndiGo,6/03/2019,Delhi,Cochin,DEL → HYD → MAA → COK,08:35,21:20,12h 45m,2 stops,No info,7682
IndiGo,9/05/2019,Kolkata,Banglore,CCU → BLR,17:15,19:50,2h 35m,non-stop,No info,4804
Vistara,21/05/2019,Banglore,Delhi,BLR → DEL,09:45,12:35,2h 50m,non-stop,No info,4668
Multiple carriers,24/06/2019,Delhi,Cochin,DEL → BOM → COK,15:15,01:30 25 Jun,10h 15m,1 stop,In-flight meal not included,5797
Air India,3/04/2019,Delhi,Cochin,DEL → COK,14:10,17:10,3h,non-stop,No info,4729
Multiple carriers,21/05/2019,Delhi,Cochin,DEL → BOM → COK,13:00,01:30 22 May,12h 30m,1 stop,No info,7888
IndiGo,24/05/2019,Kolkata,Banglore,CCU → MAA → BLR,08:10,13:00,4h 50m,1 stop,No info,5069
Air India,21/03/2019,Delhi,Cochin,DEL → RPR → NAG → BOM → COK,05:15,19:15 22 Mar,38h,3 stops,No info,9128
Jet Airways,1/05/2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,09:20 02 May,13h 20m,1 stop,In-flight meal not included,9663
