Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Air India,15/03/2019,Kolkata,Banglore,CCU → BLR,14:15,16:45,2h 30m,non-stop,No info,5170
Multiple carriers,3/03/2019,Delhi,Cochin,DEL → BOM → COK,09:10,18:50,9h 40m,1 stop,No info,15135
SpiceJet,9/04/2019,Kolkata,Banglore,CCU → MAA → BLR,15:05,20:20,5h 15m,1 stop,No info,4649
Vistara,1/05/2019,Banglore,Delhi,BLR → DEL,07:00,09:40,2h 40m,non-stop,No info,4668
Air India,12/06/2019,Delhi,Cochin,DEL → MAA → COK,20:40,09:25 13 Jun,12h 45m,1 stop,No info,7480
Air India,18/04/2019,Banglore,Delhi,BLR → DEL,17:00,19:45,2h 45m,non-stop,No info,6121
Jet Airways,27/05/2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,19:00 28 May,19h 55m,2 stops,No info,15129
Air India,6/05/2019,Kolkata,Banglore,CCU → GAU → BLR,09:50,21:05,11h 15m,1 stop,No info,7452
Jet Airways,6/06/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,10:55 07 Jun,25h 20m,1 stop,In-flight meal not included,10539
IndiGo,03/03/2019,Banglore,New Delhi,BLR → DEL,22:20,01:10 07 Mar,2h 50m,non-stop,No info,7648
SpiceJet,24/03/2019,Banglore,New Delhi,BLR → DEL,09:35,12:30,2h 55m,non-stop,No info,3925
