Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Jet Airways,9/06/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,20:45 10 Jun,25h 50m,1 stop,In-flight meal not included,10844
Air India,9/05/2019,Delhi,Cochin,DEL → BLR → COK,06:10,23:00,16h 50m,1 stop,No info,7174
IndiGo,3/03/2019,Kolkata,Banglore,CCU → BLR,15:10,17:45,2h 35m,non-stop,No info,6985
Jet Airways,27/03/2019,Delhi,Cochin,DEL → IDR → BOM → COK,05:25,19:45 28 Mar,38h 20m,2 stops,No info,11664
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,07:00,21:00,14h,1 stop,No info,8073
Air India,12/06/2019,Delhi,Cochin,DEL → HYD → MAA → COK,17:15,09:25 13 Jun,16h 10m,2 stops,No info,9417
Air India,27/06/2019,Delhi,Cochin,DEL → BOM → COK,08:00,19:15,11h 15m,1 stop,No info,8372
Multiple carriers,9/03/2019,Delhi,Cochin,DEL → BOM → COK,06:00,19:15,13h 15m,1 stop,No info,14408
Jet Airways,24/05/2019,Mumbai,Hyderabad,BOM → HYD,19:35,21:05,1h 30m,non-stop,No info,5678
IndiGo,21/03/2019,Banglore,New Delhi,BLR → DEL,13:00,15:50,2h 50m,non-stop,No info,5694
Jet Airways,12/05/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,04:40 13 May,7h 30m,1 stop,In-flight meal not included,8586
