Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Jet Airways,1/04/2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,18:15,9h 50m,1 stop,In-flight meal not included,7064
Multiple carriers,21/03/2019,Delhi,Cochin,DEL → BOM → COK,13:00,21:00,8h,1 stop,No info,13062
Multiple carriers,27/03/2019,Delhi,Cochin,DEL → BOM → COK,11:30,21:00,9h 30m,1 stop,No info,12537
Jet Airways,15/03/2019,Banglore,New Delhi,BLR → BOM → DEL,18:55,00:45 13 Mar,5h 50m,1 stop,No info,21934
Jet Airways,24/06/2019,Delhi,Cochin,DEL → BOM → COK,13:00,19:00,6h,1 stop,In-flight meal not included,10262
Vistara,3/06/2019,Banglore,Delhi,BLR → DEL,17:00,19:35,2h 35m,non-stop,No info,4878
Jet Airways,15/06/2019,Delhi,Cochin,DEL → BOM → COK,14:00,19:00,5h,1 stop,No info,14714
Jet Airways,15/03/2019,Banglore,New Delhi,BLR → BOM → DEL,07:00,15:15,8h 15m,1 stop,In-flight meal not included,9134
IndiGo,1/04/2019,Banglore,Delhi,BLR → DEL,16:55,19:55,3h,non-stop,No info,4823
Multiple carriers,27/06/2019,Delhi,Cochin,DEL → HYD → COK,07:10,16:10,9h,1 stop,In-flight meal not included,6093
