Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
IndiGo,21/04/2019,Kolkata,Banglore,CCU → BLR,11:30,14:05,2h 35m,non-stop,No info,5644
Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,22:55,13:15 13 Mar,14h 20m,1 stop,In-flight meal not included,11087
SpiceJet,3/05/2019,Mumbai,Hyderabad,BOM → HYD,22:45,00:15 04 May,1h 30m,non-stop,No info,2227
Jet Airways,18/06/2019,Banglore,Delhi,BLR → DEL,19:50,22:50,3h,non-stop,No info,8016
SpiceJet,9/05/2019,Banglore,Delhi,BLR → DEL,09:30,12:20,2h 50m,non-stop,No check-in baggage included,4885
IndiGo,1/04/2019,Kolkata,Banglore,CCU → BLR,09:35,12:20,2h 45m,non-stop,No info,4174
Air Asia,9/05/2019,Kolkata,Banglore,CCU → BBI → BLR,06:50,10:30,3h 40m,1 stop,No info,5162
Jet Airways,27/06/2019,Delhi,Cochin,DEL → BOM → COK,13:00,19:00,6h,1 stop,In-flight meal not included,10262
IndiGo,18/06/2019,Mumbai,Hyderabad,BOM → HYD,09:15,10:45,1h 30m,non-stop,No info,4049
Air India,27/05/2019,Delhi,Cochin,DEL → BOM → COK,18:00,19:15 28 May,25h 15m,1 stop,No info,8372
