Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Jet Airways,6/05/2019,Mumbai,Hyderabad,BOM → HYD,10:20,11:50,1h 30m,non-stop,In-flight meal not included,4995
SpiceJet,9/04/2019,Kolkata,Banglore,CCU → BLR,09:00,11:25,2h 25m,non-stop,No info,3873
Jet Airways,1/06/2019,Delhi,Cochin,DEL → BOM → COK,15:00,04:25 02 Jun,13h 25m,1 stop,In-flight meal not included,10262
Jet Airways,18/06/2019,Mumbai,Hyderabad,BOM → HYD,19:35,21:05,1h 30m,non-stop,In-flight meal not included,3210
GoAir,9/06/2019,Delhi,Cochin,DEL → HYD → COK,07:30,13:35,6h 5m,1 stop,No info,6276
Jet Airways,09/03/2019,Banglore,New Delhi,BLR → BOM → DEL,21:25,08:15 13 Mar,10h 50m,1 stop,In-flight meal not included,9134
Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,18:55,13:15 13 Mar,18h 20m,1 stop,In-flight meal not included,11087
Jet Airways,1/05/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,04:40 02 May,14h 35m,1 stop,No info,13941
Air India,3/06/2019,Delhi,Cochin,DEL → COK,05:10,08:00,2h 50m,non-stop,No info,5201
IndiGo,24/04/2019,Delhi,Cochin,DEL → HYD → COK,05:05,16:10,11h 5m,1 stop,No info,6171
