Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Multiple carriers,12/06/2019,Delhi,Cochin,DEL → BOM → COK,09:15,19:00,9h 45m,1 stop,No info,11622
Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,20:35,20:20 13 Mar,23h 45m,1 stop,In-flight meal not included,11087
Multiple carriers,15/06/2019,Delhi,Cochin,DEL → BOM → COK,10:20,19:00,8h 40m,1 stop,No info,11789
Jet Airways,9/05/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,09:20 10 May,14h 25m,1 stop,In-flight meal not included,9663
Jet Airways,06/03/2019,Banglore,New Delhi,BLR → BOM → DEL,08:55,16:10,7h 15m,1 stop,No info,19225
Multiple carriers,27/06/2019,Delhi,Cochin,DEL → BOM → COK,11:40,01:30 28 Jun,13h 50m,1 stop,In-flight meal not included,5797
Multiple carriers,1/06/2019,Delhi,Cochin,DEL → BOM → COK,12:50,19:15,6h 25m,1 stop,No info,9526
Jet Airways,9/04/2019,Banglore,Delhi,BLR → DEL,19:50,22:50,3h,non-stop,No info,7229
Multiple carriers,9/04/2019,Delhi,Cochin,DEL → BOM → COK,08:30,19:00,10h 30m,1 stop,No info,10877
Air India,06/03/2019,Banglore,New Delhi,BLR → HYD → VGA → DEL,08:15,22:55,14h 40m,2 stops,No info,13942
