Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Jet Airways,15/05/2019,Mumbai,Hyderabad,BOM → HYD,02:55,04:20,1h 25m,non-stop,In-flight meal not included,3210
Jet Airways,18/06/2019,Mumbai,Hyderabad,BOM → HYD,10:20,11:50,1h 30m,non-stop,No info,8040
Jet Airways,12/06/2019,Delhi,Cochin,DEL → NAG → BOM → COK,14:35,04:25 13 Jun,13h 50m,2 stops,In-flight meal not included,10919
IndiGo,27/06/2019,Delhi,Cochin,DEL → HYD → COK,07:35,16:10,8h 35m,1 stop,No info,6442
IndiGo,1/04/2019,Delhi,Cochin,DEL → COK,14:20,17:35,3h 15m,non-stop,No info,4729
IndiGo,6/03/2019,Delhi,Cochin,DEL → HYD → COK,11:55,22:20,10h 25m,1 stop,No info,6442
SpiceJet,12/06/2019,Kolkata,Banglore,CCU → BLR,22:20,00:40 13 Jun,2h 20m,non-stop,No check-in baggage included,3841
Air India,3/06/2019,Delhi,Cochin,DEL → AMD → BOM → COK,19:45,19:15 04 Jun,23h 30m,2 stops,No info,10441
Multiple carriers,1/06/2019,Delhi,Cochin,DEL → BOM → COK,10:00,21:00,11h,1 stop,No info,13587
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → DEL → BLR,20:25,14:25 16 May,18h,1 stop,No info,11467
