Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Jet Airways,6/03/2019,Delhi,Cochin,DEL → BOM → COK,09:55,18:50,8h 55m,1 stop,No info,17024
Jet Airways,9/06/2019,Mumbai,Hyderabad,BOM → HYD,07:05,08:30,1h 25m,non-stop,In-flight meal not included,4050
Air India,6/03/2019,Mumbai,Hyderabad,BOM → BHO → DEL → HYD,06:00,15:15 07 Mar,33h 15m,2 stops,No info,14219
Jet Airways,01/03/2019,Banglore,New Delhi,BLR → BOM → DEL,11:40,18:25,6h 45m,1 stop,No info,26890
Air India,15/06/2019,Delhi,Cochin,DEL → AMD → BOM → COK,19:45,19:15 16 Jun,23h 30m,2 stops,No info,9653
IndiGo,21/06/2019,Banglore,Delhi,BLR → DEL,06:05,08:50,2h 45m,non-stop,No info,3943
Jet Airways,18/05/2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,16:20 19 May,26h 15m,1 stop,In-flight meal not included,10844
Jet Airways,1/04/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,04:40 02 Apr,7h 30m,1 stop,In-flight meal not included,8849
IndiGo,12/06/2019,Mumbai,Hyderabad,BOM → HYD,01:40,03:10,1h 30m,non-stop,No info,2754
Air India,21/03/2019,Delhi,Cochin,DEL → CCU → BOM → COK,06:50,19:15 22 Mar,36h 25m,2 stops,No info,10756
Jet Airways,21/05/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,21:05 22 May,28h 5m,1 stop,No info,14151
