Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Air India,21/05/2019,Delhi,Cochin,DEL → UDR → BOM → COK,13:20,19:15 22 May,29h 55m,2 stops,No info,13276
Air India,01/03/2019,Banglore,New Delhi,BLR → BOM → NAG → DEL,08:50,10:35 02 Mar,25h 45m,2 stops,No info,31783
Air India,1/05/2019,Chennai,Kolkata,MAA → CCU,11:40,13:55,2h 15m,non-stop,No info,4667
Jet Airways,15/06/2019,Banglore,Delhi,BLR → DEL,15:15,18:10,2h 55m,non-stop,In-flight meal not included,7229
Jet Airways,15/06/2019,Delhi,Cochin,DEL → BDQ → BOM → COK,18:25,12:35 16 Jun,18h 10m,2 stops,No info,14237
Multiple carriers,15/05/2019,Delhi,Cochin,DEL → BOM → COK,10:20,19:15,8h 55m,1 stop,No info,8266
Jet Airways,24/06/2019,Delhi,Cochin,DEL → LKO → BOM → COK,09:25,04:25 25 Jun,19h,2 stops,No info,13882
IndiGo,6/05/2019,Banglore,Delhi,BLR → DEL,20:00,22:50,2h 50m,non-stop,No info,4823
Air Asia,24/05/2019,Banglore,Delhi,BLR → DEL,23:55,02:45 25 May,2h 50m,non-stop,No info,4483
Air India,12/06/2019,Banglore,Delhi,BLR → DEL,06:10,08:55,2h 45m,non-stop,No info,6961
Jet Airways,12/05/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,10:05 13 May,15h 10m,1 stop,In-flight meal not included,9663
