Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
IndiGo,1/05/2019,Banglore,Delhi,BLR → DEL,23:30,02:20 02 May,2h 50m,non-stop,No info,4591
Jet Airways,18/03/2019,Banglore,New Delhi,BLR → BOM → DEL,14:05,19:10,5h 5m,1 stop,In-flight meal not included,13502
Air India,27/06/2019,Delhi,Cochin,DEL → BOM → COK,13:00,19:15,6h 15m,1 stop,No info,8372
Air India,21/04/2019,Banglore,Delhi,BLR → DEL,06:10,08:55,2h 45m,non-stop,No info,6121
Vistara,21/03/2019,Banglore,New Delhi,BLR → DEL,16:00,18:35,2h 35m,non-stop,No info,5613
IndiGo,6/04/2019,Delhi,Cochin,DEL → HYD → COK,06:50,12:10,5h 20m,1 stop,No info,5298
Jet Airways,9/03/2019,Delhi,Cochin,DEL → BOM → COK,02:15,19:45,17h 30m,1 stop,No info,15764
Air Asia,15/06/2019,Delhi,Cochin,DEL → BLR → COK,07:55,22:25,14h 30m,1 stop,No info,6253
Jet Airways,18/05/2019,Kolkata,Banglore,CCU → BOM → BLR,05:45,12:00,6h 15m,1 stop,In-flight meal not included,8586
Jet Airways,27/03/2019,Delhi,Cochin,DEL → IXC → BOM → COK,06:20,04:25 28 Mar,22h 5m,2 stops,No info,12273
IndiGo,15/05/2019,Mumbai,Hyderabad,BOM → HYD,21:20,22:50,1h 30m,non-stop,No info,2227
