Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Multiple carriers Premium economy,21/03/2019,Delhi,Cochin,DEL → BOM → COK,06:00,15:30,9h 30m,1 stop,No info,11269
Multiple carriers,18/05/2019,Delhi,Cochin,DEL → BOM → COK,13:00,01:30 19 May,12h 30m,1 stop,No info,9385
Jet Airways,24/05/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,23:35,6h 35m,1 stop,No info,14151
Jet Airways,9/04/2019,Banglore,Delhi,BLR → DEL,08:20,11:20,3h,non-stop,In-flight meal not included,4544
Jet Airways,12/03/2019,Banglore,New Delhi,BLR → BOM → DEL,20:35,10:45 13 Mar,14h 10m,1 stop,In-flight meal not included,11087
IndiGo,3/06/2019,Kolkata,Banglore,CCU → BLR,04:40,07:15,2h 35m,non-stop,No info,5224
IndiGo,27/06/2019,Kolkata,Banglore,CCU → BLR,09:35,12:10,2h 35m,non-stop,No info,4804
Air India,12/03/2019,Mumbai,Hyderabad,BOM → MAA → HYD,05:55,20:35,14h 40m,1 stop,No info,6901
Multiple carriers,21/03/2019,Delhi,Cochin,DEL → HYD → COK,14:35,22:20,7h 45m,1 stop,In-flight meal not included,5999
Vistara,9/04/2019,Banglore,Delhi,BLR → DEL,21:00,23:50,2h 50m,non-stop,No info,5403
Jet Airways,12/06/2019,Delhi,Cochin,DEL → JAI → BOM → COK,05:30,19:00,13h 30m,2 stops,No info,13014
