Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Vistara,1/05/2019,Chennai,Kolkata,MAA → CCU,07:05,09:20,2h 15m,non-stop,No info,3687
Air India,21/03/2019,Delhi,Cochin,DEL → MAA → COK,17:20,09:25 22 Mar,16h 5m,1 stop,No info,6482
Jet Airways,6/03/2019,Mumbai,Hyderabad,BOM → DEL → HYD,17:00,16:50 07 Mar,23h 50m,1 stop,No info,19595
IndiGo,15/06/2019,Delhi,Cochin,DEL → BLR → COK,15:10,20:00,4h 50m,1 stop,No info,6147
Jet Airways,6/05/2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,09:45 07 May,16h 45m,1 stop,No info,10953
SpiceJet,24/04/2019,Kolkata,Banglore,CCU → BLR,22:20,00:40 25 Apr,2h 20m,non-stop,No info,3873
Jet Airways,06/03/2019,Banglore,New Delhi,BLR → BOM → DEL,14:05,05:05 07 Mar,15h,1 stop,No info,14815
Multiple carriers,6/06/2019,Delhi,Cochin,DEL → BOM → COK,04:55,19:00,14h 5m,1 stop,No info,10678
Jet Airways,9/03/2019,Delhi,Cochin,DEL → BOM → COK,15:05,04:25 10 Mar,13h 20m,1 stop,In-flight meal not included,14053
Jet Airways,12/06/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,22:05,12h 30m,1 stop,In-flight meal not included,10539
Jet Airways,18/03/2019,Banglore,New Delhi,BLR → BOM → DEL,14:05,21:20,7h 15m,1 stop,No info,16946
