Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
SpiceJet,1/04/2019,Kolkata,Banglore,CCU → PNQ → BLR,08:35,17:15,8h 40m,1 stop,No info,6013
Jet Airways,6/05/2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,22:35,6h 5m,1 stop,No info,14781
Jet Airways,21/03/2019,Delhi,Cochin,DEL → BOM → COK,17:30,04:25 22 Mar,10h 55m,1 stop,No info,12557
Multiple carriers,6/03/2019,Delhi,Cochin,DEL → BOM → COK,04:45,18:50,14h 5m,1 stop,No info,13875
Jet Airways,15/06/2019,Delhi,Cochin,DEL → IDR → BOM → COK,09:35,04:25 16 Jun,18h 50m,2 stops,In-flight meal not included,11507
Air India,18/06/2019,Kolkata,Banglore,CCU → BLR,14:15,16:45,2h 30m,non-stop,No info,5510
GoAir,24/03/2019,Kolkata,Banglore,CCU → AMD → BLR,16:25,00:05 25 Mar,7h 40m,1 stop,No info,10198
Jet Airways,12/06/2019,Kolkata,Banglore,CCU → GAU → BLR,10:20,17:35,7h 15m,1 stop,No info,8355
Jet Airways,1/06/2019,Banglore,Delhi,BLR → DEL,18:55,22:00,3h 5m,non-stop,No info,8016
IndiGo,27/05/2019,Delhi,Cochin,DEL → BOM → COK,10:35,21:00,10h 25m,1 stop,No info,6314
Air India,9/03/2019,Delhi,Cochin,DEL → COK,05:10,08:00,2h 50m,non-stop,No info,5831
