Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price
Multiple carriers,18/05/2019,Delhi,Cochin,DEL → BOM → COK,19:00,01:30 19 May,6h 30m,1 stop,No info,7670
Multiple carriers,6/06/2019,Delhi,Cochin,DEL → BOM → COK,10:35,19:00,8h 25m,1 stop,No info,10877
Multiple carriers,3/03/2019,Delhi,Cochin,DEL → BOM → COK,07:05,15:30,8h 25m,1 stop,No info,17057
Jet Airways,6/06/2019,Delhi,Cochin,DEL → IDR → BOM → COK,05:30,19:00,13h 30m,2 stops,In-flight meal not included,11507
Jet Airways,18/06/2019,Delhi,Cochin,DEL → COK,09:50,13:05,3h 15m,non-stop,In-flight meal not included,4466
Air India,1/06/2019,Delhi,Cochin,DEL → CCU → BOM → COK,16:55,19:15 02 Jun,26h 20m,2 stops,No info,13801
IndiGo,1/03/2019,Kolkata,Banglore,CCU → BLR,21:25,00:05 02 Mar,2h 40m,non-stop,No info,4778
Jet Airways,15/05/2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,18:00,8h 25m,1 stop,In-flight meal not included,12384
Multiple carriers,27/06/2019,Delhi,Cochin,DEL → BOM → COK,04:55,12:35,7h 40m,1 stop,No info,10678
Air India,9/03/2019,Delhi,Cochin,DEL → TRV → COK,05:15,06:50 10 Mar,25h 35m,1 stop,No info,9790
